TOKEN	WEIGHT
taking	-0.010044205118861277
individual	-0.0100374744230096
along	-0.010032602869654345
various	-0.009999948646550365
quorum	-0.009992956443697737
once	-0.009992124345330694
Missouri	-0.009986017894374996
doubt	-0.009975814497355469
suggest	-0.009968730891242823
costs	-0.00996222645584571
previous	-0.009943383557116723
discussion	-0.009928473997050064
peace	-0.009927281375722012
products	-0.00990689731726375
sent	-0.009885939385827307
Nations	-0.009877445089119846
involved	-0.00987731272307678
whatever	-0.00987247821515367
served	-0.009839560870158118
Michigan	-0.009827697120293735
took	-0.009807129533651354
half	-0.00976918060875946
address	-0.009765438471449542
15	-0.00973388620819601
protect	-0.00968548015950565
connection	-0.00967793253013603
send	-0.009675842011959047
questions	-0.009673933806910137
claim	-0.009657096062521537
condition	-0.009640564860877518
board	-0.009619264811746955
name	-0.009614801521331522
greater	-0.00960992073807825
Indian	-0.009601288455021584
table	-0.009600883250604332
prices	-0.009588689365442474
evidence	-0.009579745165454038
leader	-0.00956271950865512
Service	-0.009559758020067803
However	-0.009544714144239451
responsibility	-0.00952868820334342
told	-0.009511220954391872
demand	-0.009456669326162192
Office	-0.00945621479253516
assistance	-0.009433765316636419
credit	-0.009405949321372689
insert	-0.00940390297978709
June	-0.009377042901517283
week	-0.009354030231207962
entirely	-0.009316755389774015
around	-0.00930540856846921
fund	-0.009304100823716698
hour	-0.00928172908258185
got	-0.009277632146295447
project	-0.009240927206743615
proposal	-0.0092056296105625
throughout	-0.009190278745671228
providing	-0.009176897567855823
hold	-0.009172351720481696
carry	-0.009121983310301573
nation	-0.009114417950856771
goes	-0.009112512216829504
open	-0.009094726312277734
joint	-0.009090844325990263
50	-0.00907106252996844
knows	-0.00906767704855587
contract	-0.009064858934615254
submit	-0.009061388856292962
presented	-0.009060618100188255
require	-0.009059996792141208
Appropriations	-0.009054636934328607
sense	-0.009013351621538964
hand	-0.008995898677646195
study	-0.008986703599022676
women	-0.008983022298935297
Mississippi	-0.008973834058752345
Our	-0.008949637777835905
urge	-0.008948673168525618
testimony	-0.008948039849133047
strong	-0.008937630971493683
commission	-0.008937147645796995
banks	-0.008930741171818853
spending	-0.008925766374833024
saying	-0.008916360736786493
appropriate	-0.008903527815813932
energy	-0.00886609687590199
example	-0.008839039867528346
Iowa	-0.008834819581052778
H.	-0.008815503208458276
Commerce	-0.00881293953906643
single	-0.008804599725994445
current	-0.008790806878038395
Columbia	-0.008789500127434487
millions	-0.008787491523256509
major	-0.008776155740838563
Member	-0.008765686217457542
minority	-0.00876318094633405
character	-0.008726602940717327
due	-0.008707645594318723
substitute	-0.008704766496105812
job	-0.008700891333367058
serious	-0.008648981720756841
probably	-0.008642685883558774
coming	-0.008641427335088067
executive	-0.008616125543473347
quite	-0.00859018908695396
nor	-0.008549772237347575
prevent	-0.008537682871918792
personal	-0.008533271248208038
difference	-0.00852343322417236
later	-0.008520326825206238
leadership	-0.00850846119773979
allowed	-0.008506947465936388
established	-0.008501719744631982
else	-0.008492989610199267
claims	-0.008485729342794611
argument	-0.008482610129456482
Soviet	-0.008469034205185848
international	-0.00846837539584044
debt	-0.008451814158255697
Indiana	-0.008444103498517846
month	-0.008437517803839794
courts	-0.008422806864771997
families	-0.008420269953352355
speech	-0.008416766148106693
friends	-0.008387785183049999
extent	-0.008385211118480085
By	-0.008376627083318105
matters	-0.00836632810184933
toward	-0.00836043130355845
schools	-0.008353059131495208
hundred	-0.00835122309694169
sufficient	-0.008330186108974949
recent	-0.008328807589634618
balance	-0.008314120763589214
date	-0.008313936390428078
pension	-0.008299445247713868
Tennessee	-0.008297302594439488
human	-0.008294039591718275
committees	-0.008291375269983093
